# VFX v1 -> v2 API coverage map. One line per v1 endpoint.
#   STATUS  VERB  /route   # Controller.Action
# STATUS: covered | gap | omit | oos   (see tools/api_drift.py header)
# Regenerate with: python3 tools/api_drift.py genmap
# The drift gate (`check`) fails if any live v1 endpoint is missing here.

omit    GET    /txapi/txv1/getfailedlocaltx                                  # TXV1Controller.GetFailedLocalTX
omit    GET    /txapi/txv1/getfortisbroadcasttx                              # TXV1Controller.GetFortisBroadcastTx
omit    GET    /txapi/txv1/getlocaladnrtx                                    # TXV1Controller.GetLocalADNRTX
omit    GET    /txapi/txv1/getlocaltxafterblock/{height}                     # TXV1Controller.GetLocalTxAfterBlock
omit    GET    /txapi/txv1/getlocaltxaftertimestamp/{timestamp}              # TXV1Controller.GetLocalTxAfterTimestamp
omit    GET    /txapi/txv1/getlocaltxbeforeblock/{height}                    # TXV1Controller.GetLocalTxBeforeBlock
omit    GET    /txapi/txv1/getlocaltxbeforetimestamp/{timestamp}             # TXV1Controller.GetLocalTxBeforeTimestamp
omit    GET    /txapi/txv1/getlocaltxbyaddress/{address}                     # TXV1Controller.GetLocalTxByAddress
omit    GET    /txapi/txv1/getlocaltxbyaddresslimit/{address}/{limit?}       # TXV1Controller.GetLocalTxByAddressLimit
omit    GET    /txapi/txv1/getlocaltxbyblock/{height}                        # TXV1Controller.GetLocalTxByBlock
omit    GET    /txapi/txv1/getlocaltxbyhash/{hash}                           # TXV1Controller.GetLocalTxByHash
omit    GET    /txapi/txv1/getlocaltxpaginated/{page}/{amountperpage}/{address?} # TXV1Controller.GetLocalTxByAddressPaginated
omit    GET    /txapi/txv1/getminedlocaltx                                   # TXV1Controller.GetMinedLocalTX
covered GET    /txapi/txv1/getnetworktxbyhash/{txhash}/{startatblock?}/{startatbeginning?} # TXV1Controller.GetNetworkTXByHash
covered GET    /txapi/txv1/getnetworktxbyhashsafe/{txhash}/{startatblock?}/{startatbeginning?} # TXV1Controller.GetNetworkTXByHashSafe
omit    GET    /txapi/txv1/getnftburndata/{scuid}/{fromaddress}              # TXV1Controller.GetNFTBurnData
omit    GET    /txapi/txv1/getnftevolvedata/{scuid}/{toaddress}/{evostate}   # TXV1Controller.GetNFTEvolveData
omit    POST   /txapi/txv1/getnftmintdata                                    # TXV1Controller.GetNFTMintData
omit    GET    /txapi/txv1/getnfttransferdata/{scuid}/{toaddress}/{**locator} # TXV1Controller.GetNFTTransferData
omit    GET    /txapi/txv1/getpendinglocaltx                                 # TXV1Controller.GetPendingLocalTX
omit    POST   /txapi/txv1/getrawtxfee                                       # TXV1Controller.GetRawTxFee
omit    GET    /txapi/txv1/getreservelocaltx                                 # TXV1Controller.GetReserveLocalTX
omit    POST   /txapi/txv1/getscmintdeploydata                               # TXV1Controller.GetSCMintDeployData
omit    GET    /txapi/txv1/getsuccessfullocaltx                              # TXV1Controller.GetSuccessfulLocalTX
omit    GET    /txapi/txv1/gettimestamp                                      # TXV1Controller.GetTimestamp
omit    POST   /txapi/txv1/gettxhash                                         # TXV1Controller.GetTxHash
omit    GET    /txapi/txv1/replacetransactionbyfee/{txhash}/{newfee}         # TXV1Controller.ReplaceTransactionByFee
covered POST   /txapi/txv1/sendrawtransaction                               # TXV1Controller.SendRawTransaction
omit    GET    /txapi/txv1/sendtransaction/{faddr}/{taddr}/{amt}             # TXV1Controller.SendTransaction
omit    GET    /txapi/txv1/testmempool                                       # TXV1Controller.TestMempool
omit    POST   /txapi/txv1/testrawtransaction                                # TXV1Controller.TestRawTransaction
omit    GET    /txapi/txv1/transferadnr/{fromaddress}/{toaddress}            # TXV1Controller.TransferAdnr
omit    GET    /txapi/txv1/validatesignature/{message}/{address}/{**sigscript} # TXV1Controller.ValidateSignature
omit    POST   /txapi/txv1/verifyrawtransaction                              # TXV1Controller.VerifyRawTransaction
omit    GET    /api/v1                                                       # V1Controller.Get
covered GET    /api/v1/addpeer/{**ipaddr}                                   # V1Controller.AddPeer
covered GET    /api/v1/banpeer/{**ipaddress}                                # V1Controller.BanPeer
